recipient_uei,full_addy,recipient_CAGE,recipient_name,recipient_dba,phys_address_01,phys_address_02,phys_address_city,phys_address_st,phys_address_ZIP,phys_address_ZIP2,phys_address_country,phys_address_cong_dist,recipient_url,entity_structure,bus_type_counter,bus_type_string,primary_NAICS,NAICS_code_counter,NAICS_code_string,PSC_code_counter,PSC_code_string,street,city,state,postalcode,lat,long,full_address
SGWEPUFLSMU7,303 UNIVERSITY AVE NA NEWARK NJ 07102,3Q2L1,ESSEX COUNTY COLLEGE,NA,303 UNIVERSITY AVE,NA,NEWARK,NJ,07102,1719,USA,10,HTTPS://WWW.ESSEX.EDU,2A,0004,1A~2F~M8~OH,NA,0000,NA,0000,NA,303 UNIVERSITY AVE,NEWARK,NJ,07102,40.738778,-74.175516,NA
SHQDV94JYMU4,15 KELLOGG BLVD W NA SAINT PAUL MN 55102,3RUE3,CITY OF SAINT PAUL,FINANCE-ACCOUNTING,15 KELLOGG BLVD W,NA,SAINT PAUL,MN,55102,1613,USA,04,NA,2A,0003,12~C8~UD,813311,0001,813311N,0000,NA,15 KELLOGG BLVD W,SAINT PAUL,MN,55102,44.94428225,-93.09395232508292,NA
SJM5U3BMLSV1,5710 MACCORKLE AVE SE NA CHARLESTON WV 25304,0CGY0,WEST VIRGINIA HOUSING DEVELOPMENT F,NA,5710 MACCORKLE AVE SE,NA,CHARLESTON,WV,25304,2804,USA,01,NA,2A,0002,2F~8B,925110,0002,925110N~925120N,0000,NA,5710 MACCORKLE AVE SE,CHARLESTON,WV,25304,38.313517916581134,-81.56814437912628,NA
SJTMMSKN5M99,500 BROAD ST NA NEWARK NJ 07102,38SV8,HOUSING AUTHORITY OF CITY OF NEWARK,NA,500 BROAD ST,NA,NEWARK,NJ,07102,3112,USA,10,www.newarkha.org,2A,0003,12~8B~C6,NA,0000,NA,0000,NA,500 BROAD ST,NEWARK,NJ,07102,40.74444,-74.169684,NA
SJW2CDCLUEH5,250 ZIERDT RD NA MADISON AL 35756,4CD66,"THE HOUSING AUTHORITY OF THE CITY OF TRIANA, ALABAMA",NA,250 ZIERDT RD,NA,MADISON,AL,35756,8208,USA,05,NA,2A,0003,12~8B~C6,NA,0000,NA,0000,NA,250 ZIERDT RD,MADISON,AL,35756,34.58526603812401,-86.73658463320132,NA
SK88K1DRMN23,304 N 8TH STREET SUITE 250 BOISE ID 83702,6B5P3,EXECUTIVE OFFICE OF THE STATE OF IDAHO,IDAHO OFFICE OF ENERGY & MINERAL RESOURCES,304 N 8TH STREET,SUITE 250,BOISE,ID,83702,5834,USA,02,NA,2A,0001,2F,NA,0000,NA,0000,NA,304 N 8TH STREET,BOISE,ID,83702,43.61728365,-116.20136089922934,NA
SKH5GMBR9GL3,1601 E MARKET ST NA GREENSBORO NC 27411,9DMC2,NORTH CAROLINA AGRICULTURAL AND TECHNICAL STATE UNIVERSITY,NA,1601 E MARKET ST,NA,GREENSBORO,NC,27411,0002,USA,06,http://www.ncat.edu,2A,0007,12~1A~2F~G7~HB~M8~OH,611310,0002,541715E~611310N,0000,NA,1601 E MARKET ST,GREENSBORO,NC,27411,36.072583,-79.77166,NA
SL1XTMR1LN13,12013 6TH ST NA HOUSTON TX 77072,5F4L3,ALIEF MONTESSORI COMMUNITY SCHOOL,NA,12013 6TH ST,NA,HOUSTON,TX,77072,5308,USA,07,www.amcsmontessori.org,2A,0002,12~H6,NA,0000,NA,0000,NA,12013 6TH ST,HOUSTON,TX,77072,29.71314963265306,-95.59122391836736,NA
SL2CBWRVW5B5,2201 W WASHINGTON ST NA STOCKTON CA 95203,3G615,STOCKTON PORT DISTRICT,NA,2201 W WASHINGTON ST,NA,STOCKTON,CA,95203,2942,USA,09,www.portofstockton.com,2A,0003,12~C6~T4,NA,0000,NA,0000,NA,2201 W WASHINGTON ST,STOCKTON,CA,95203,37.945956800000005,-121.32239448840164,NA
SLC6BSJD5EF3,10 PARK PLZ STE 5450 BOSTON MA 02116,1QM36,MASSACHUSETTS DEPARTMENT OF TRANSPORTATION,NA,10 PARK PLZ,STE 5450,BOSTON,MA,02116,4024,USA,07,NA,2A,0003,12~2F~TW,926120,0001,926120N,0000,NA,10 PARK PLZ,BOSTON,MA,02116,42.351463310412726,-71.06915978376838,NA
