date,value,place_id,category_id
2017-01-01 00:00:00,302712563.3499999,c-us-ca-lax,
2018-01-01 00:00:00,284103703.80000013,c-us-ca-lax,
2019-01-01 00:00:00,396411827.6700002,c-us-ca-lax,
2020-01-01 00:00:00,1597295025.1600003,c-us-ca-lax,
2021-01-01 00:00:00,2530335088.9399986,c-us-ca-lax,
2022-01-01 00:00:00,820953248.0200001,c-us-ca-lax,
2023-01-01 00:00:00,605434127.5900002,c-us-ca-lax,
2017-01-01 00:00:00,188705230.13999996,c-us-ca-lgb,
2018-01-01 00:00:00,124031937.12,c-us-ca-lgb,
2019-01-01 00:00:00,199243825.65000007,c-us-ca-lgb,
2020-01-01 00:00:00,299043762.8,c-us-ca-lgb,
2021-01-01 00:00:00,425530747.78999996,c-us-ca-lgb,
2022-01-01 00:00:00,222708743.39999995,c-us-ca-lgb,
2023-01-01 00:00:00,198611716.43000004,c-us-ca-lgb,
2017-01-01 00:00:00,259581866.16999996,c-us-ca-oak,
2018-01-01 00:00:00,185034298.35,c-us-ca-oak,
2019-01-01 00:00:00,161286866.82999998,c-us-ca-oak,
2020-01-01 00:00:00,1261035977.9899998,c-us-ca-oak,
2021-01-01 00:00:00,2524772894.16,c-us-ca-oak,
2022-01-01 00:00:00,690523726.0300001,c-us-ca-oak,
2023-01-01 00:00:00,125900044.91,c-us-ca-oak,
2017-01-01 00:00:00,55325271.74,c-us-ca-ral,
2018-01-01 00:00:00,24168290.35,c-us-ca-ral,
2019-01-01 00:00:00,33835548,c-us-ca-ral,
2020-01-01 00:00:00,109037028.87,c-us-ca-ral,
2021-01-01 00:00:00,73470365.7,c-us-ca-ral,
2022-01-01 00:00:00,46575529.2,c-us-ca-ral,
2023-01-01 00:00:00,36429848.07,c-us-ca-ral,
2017-01-01 00:00:00,63699696.71999999,c-us-ca-sac,
2018-01-01 00:00:00,59930253.970000006,c-us-ca-sac,
2019-01-01 00:00:00,104063163.29,c-us-ca-sac,
2020-01-01 00:00:00,273143015.37,c-us-ca-sac,
2021-01-01 00:00:00,285774151.16999996,c-us-ca-sac,
2022-01-01 00:00:00,193707106.64,c-us-ca-sac,
2023-01-01 00:00:00,111777300.69,c-us-ca-sac,
2017-01-01 00:00:00,9771875.98,c-us-ca-sam,
2018-01-01 00:00:00,4561256,c-us-ca-sam,
2019-01-01 00:00:00,12591696.21,c-us-ca-sam,
2020-01-01 00:00:00,19789941.07,c-us-ca-sam,
2021-01-01 00:00:00,64129749.5,c-us-ca-sam,
2022-01-01 00:00:00,31330351.810000002,c-us-ca-sam,
2023-01-01 00:00:00,15727664.94,c-us-ca-sam,
2017-01-01 00:00:00,400338841.9000001,c-us-ca-san,
2018-01-01 00:00:00,455614832.2999999,c-us-ca-san,
2019-01-01 00:00:00,545948217,c-us-ca-san,
2020-01-01 00:00:00,965413984.7699999,c-us-ca-san,
2021-01-01 00:00:00,1132292362.56,c-us-ca-san,
2022-01-01 00:00:00,630813065.9,c-us-ca-san,
2023-01-01 00:00:00,648964399.6899999,c-us-ca-san,
2017-01-01 00:00:00,72147640.20999993,c-us-ca-sbt,
2018-01-01 00:00:00,22763578.679999996,c-us-ca-sbt,
2019-01-01 00:00:00,62236038.00000001,c-us-ca-sbt,
2020-01-01 00:00:00,181803785.49999988,c-us-ca-sbt,
2021-01-01 00:00:00,248361725.51000005,c-us-ca-sbt,
2022-01-01 00:00:00,62230112.369999975,c-us-ca-sbt,
2023-01-01 00:00:00,174322425.19,c-us-ca-sbt,
2017-01-01 00:00:00,32668281.69,c-us-ca-sck,
2018-01-01 00:00:00,29643249.4,c-us-ca-sck,
2019-01-01 00:00:00,33978473.47,c-us-ca-sck,
2020-01-01 00:00:00,55435640.19,c-us-ca-sck,
2021-01-01 00:00:00,63269657.61000001,c-us-ca-sck,
2022-01-01 00:00:00,22033068.5,c-us-ca-sck,
2023-01-01 00:00:00,40151530.83,c-us-ca-sck,
2017-01-01 00:00:00,1004833189.8100001,c-us-ca-sfo,
2018-01-01 00:00:00,615031694.9399999,c-us-ca-sfo,
2019-01-01 00:00:00,764114216.0600001,c-us-ca-sfo,
2020-01-01 00:00:00,1516630164.6199996,c-us-ca-sfo,
2021-01-01 00:00:00,2694785456.02,c-us-ca-sfo,
2022-01-01 00:00:00,1114509449.8000002,c-us-ca-sfo,
2023-01-01 00:00:00,566762212.3100001,c-us-ca-sfo,
2017-01-01 00:00:00,146414151.77,c-us-ca-sjc,
