Count,GEOID,SOLE Place ID,SOLE State Place ID,State FIPS,SOLE Country Place ID,Place FIPS,GNIS feature_id,City name,UEI,State Code,US Census Place Name,State,Census Region,Census Division,SoLE region,,,,Population 2021,Population 2021 Bin,2020 Census GEOIDs,Population Decennial Census 2020,us_bls_laus,us_bls_oews,us_bls_oews_old,us_cdc_usaleep,us_cdc_nchs,us_census_sahie,us_education_edfacts,us_nces_piaac,us_fbi_ucr,IMLS,OECD,us_prosperitynow,UN Habitat,lat_osm,long_osm,us_epa_aqs
67,0636770,c-us-ca-ivn,s-us-ca,06,n-us,36770,2410116,Irvine,WANRBCLK1AD7,CA,Irvine city,California,West,Pacific,Pacific West,"Irvine, California",c-us-ca-ivn,#N/A,345935,"274,001 - 320,000",0636770,307670,LAUCT063677000000003,,,,,,,,CA0302600,"IRVINE, CA",,"Irvine, CA",,33.6856969,-117.82598,"Irvine, California, USA"
79,0613392,c-us-ca-cuv,s-us-ca,06,n-us,13392,2409461,Chula Vista,KVBYLRZMAGJ9,CA,Chula Vista city,California,West,Pacific,Pacific West,"Chula Vista, California",c-us-ca-cuv,#N/A,345935,"274,001 - 320,000",0613392,275487,LAUCT061339200000003,,,,,,,,CA0370200,"CHULA VISTA, CA",,"Chula Vista, CA",,32.6400541,-117.0842,"Chula Vista, California, USA"
98,0626000,c-us-ca-fnc,s-us-ca,06,n-us,26000,2410545,Fremont,Q3MWNS85DEF8,CA,Fremont city,California,West,Pacific,Pacific West,"Fremont, California",c-us-ca-fnc,#N/A,345935,"0 - 274,000",0626000,230504,LAUCT062600000000003,,,,,,,,CA0010500,"FREMONT, CA",,"Fremont, CA",,37.5482697,-121.98857,"Fremont, California, USA"
100,0669088,c-us-ca-sam,s-us-ca,06,n-us,69088,2411819,Santa Clarita,EVFFKS9KJAN8,CA,Santa Clarita city,California,West,Pacific,Pacific West,"Santa Clarita, California",c-us-ca-sam,#N/A,309014,"0 - 274,000",0669088,228673,LAUCT066908800000003,,,,,,,,CA0191R0X,"SANTA CLARITA, CA",,"Santa Clarita, CA",,34.3916641,-118.54259,"Santa Clarita, California, USA"
104,0665000,c-us-ca-sbt,s-us-ca,06,n-us,65000,2411777,San Bernardino,EJLMHR1CMKM7,CA,San Bernardino city,California,West,Pacific,Pacific West,"San Bernardino, California",c-us-ca-sbt,#N/A,309014,"0 - 274,000",0665000,222101,LAUCT066500000000003,,,,,,,,CA0361000,"SAN BERNARDINO, CA",,"San Bernardino, CA",,34.84147,-116.17862,"San Bernardino, California, USA"
19,0820000,c-us-co-den,s-us-co,08,n-us,20000,2410324,Denver,T15SJL2DFL33,CO,Denver city,Colorado,West,Mountain,Mountain West,"Denver, Colorado",c-us-co-den,711463,309014,"680,001 - 9,000,000",0820000,715522,LAUCT082000000000003,,,,,,,,CODPD0000,"DENVER, CO",,"Denver, CO",,39.7392364,-104.98486,"Denver, Colorado, USA"
40,0816000,c-us-co-cos,s-us-co,08,n-us,16000,2410198,Colorado Springs,HV8LYKJKAQW6,CO,Colorado Springs city,Colorado,West,Mountain,Mountain West,"Colorado Springs, Colorado",c-us-co-cos,483969,309014,"480,001 - 680,000",0816000,478961,LAUCT081600000000003,17820,1720,,,,,,CO0210100,"COLORADO SPRINGS, CO",,"Colorado Springs, CO",,38.8339578,-104.82535,"Colorado Springs, Colorado, USA"
51,0804000,c-us-co-auc,s-us-co,08,n-us,04000,2409757,Aurora,KVZATDBDECG8,CO,Aurora city,Colorado,West,Mountain,Mountain West,"Aurora, Colorado",c-us-co-auc,389675,309014,"320,001 - 480,000",0804000,386261,LAUCT080400000000003,,,,,,,,CO0010100,"AURORA, CO",,"Aurora, CO",,39.7405111,-104.83099,"Aurora, Colorado, USA"
114,0908000,c-us-ct-bdr,s-us-ct,09,n-us,08000,2378269,Bridgeport,JXKJJJ2SVMK9,CT,Bridgeport city,Connecticut,Northeast,New England,Northeast,,,#N/A,148345,,0908000,148654,LAUCT090800000000003,,,,,,,,CT0001500,"BRIDGEPORT, CT",,"Bridgeport, CT",,41.18704,-73.1955,
20,1150000,c-us-dc-was,s-us-dc,11,n-us,50000,2390665,Washington,C15BWS4ZGZA7,DC,Washington city,District of Columbia,South,South Atlantic,South Atlantic,"Washington, District of Columbia",c-us-dc-was,#N/A,309014,"480,001 - 680,000",1150000,689545,LAUCT115000000000003,,,,,,,,DCMPD0000,"WASHINGTON, DC",,"Washington, DC",,38.8950368,-77.036543,"Washington, District of Columbia, USA"
118,1077580,c-us-de-ilg,s-us-de,10,n-us,77580,2390676,Wilmington,FN7FAJ2XMHL9,DE,Wilmington city,Delaware,South,South Atlantic,South Atlantic,,,#N/A,70750,,1077580,70898,LAUCT107758000000003,,,,,,,,DE0020600,"WILMINGTON, DE",,"Wilmington, DE",,39.73509,-75.52891,
12,1235000,c-us-fl-jax,s-us-fl,12,n-us,35000,2404783,Jacksonville,HMGLC26EUPC4,FL,Jacksonville city,Florida,South,South Atlantic,South Atlantic,"Jacksonville, Florida",c-us-fl-jax,954624,309014,"680,001 - 9,000,000",1235000,949611,LAUCT123500000000003,27260,3600,,,,,,FL0160000,"JACKSONVILLE, FL",,"Jacksonville, FL",,30.3321838,-81.655651,"Jacksonville, Florida, USA"
44,1245000,c-us-fl-mia,s-us-fl,12,n-us,45000,2404247,Miami,KJT5RFPMWTK5,FL,Miami city,Florida,South,South Atlantic,South Atlantic,"Miami, Florida",c-us-fl-mia,439906,309014,"320,001 - 480,000",1245000,442241,LAUCT124500000000003,,,,,,,,FL0130600,"MIAMI, FL",,"Miami, FL",,25.7741728,-80.19362,"Miami, Florida, USA"
52,1271000,c-us-fl-tpa,s-us-fl,12,n-us,71000,2405568,Tampa,H8ARNKM182M3,FL,Tampa city,Florida,South,South Atlantic,South Atlantic,"Tampa, Florida",c-us-fl-tpa,387037,309014,"320,001 - 480,000",1271000,384959,LAUCT127100000000003,,,,,,,,FL0290200,"TAMPA, FL",,"Tampa, FL",,27.9477595,-82.458444,"Tampa, Florida, USA"
68,1253000,c-us-fl-orl,s-us-fl,12,n-us,53000,2404443,Orlando,TWMLTFELNF75,FL,Orlando city,Florida,South,South Atlantic,South Atlantic,"Orlando, Florida",c-us-fl-orl,#N/A,309014,"274,001 - 320,000",1253000,307573,LAUCT125300000000003,,,,,,,,FL0480400,"ORLANDO, FL",,"Orlando, FL",,28.5421109,-81.37903,"Orlando, Florida, USA"
86,1263000,c-us-fl-pie,s-us-fl,12,n-us,63000,2405401,St. Petersburg,LARHMJNJAKS4,FL,St. Petersburg city,Florida,South,South Atlantic,South Atlantic,"St. Petersburg, Florida",c-us-fl-pie,#N/A,309014,"0 - 274,000",1263000,258308,LAUCT126300000000003,,,,,,,,FL0521400,"ST. PETERSBURG, FL",,"St. Petersburg, FL",,27.7700475,-82.635908,"St. Petersburg, Florida, USA"
